Name,StartAddress,EndAddress,Size
FUN_80038bd4,0x80038BD4,0x80038C5F,0x8C
FUN_80038c60,0x80038C60,0x80038CD7,0x78
FUN_80038cd8,0x80038CD8,0x80038E83,0x1AC
FUN_80038e84,0x80038E84,0x8003925F,0x3DC
FUN_80039260,0x80039260,0x8003929F,0x40
FUN_800392a0,0x800392A0,0x800392F7,0x58
FUN_800392f8,0x800392F8,0x80039307,0x10
FUN_80039308,0x80039308,0x800393EF,0xE8
FUN_800393f0,0x800393F0,0x800394D3,0xE4
FUN_800394d4,0x800394D4,0x80039573,0xA0
FUN_80039574,0x80039574,0x800399C3,0x450
FUN_800399c4,0x800399C4,0x80039AA7,0xE4
FUN_80039aa8,0x80039AA8,0x80039BA7,0x100
FUN_80039ba8,0x80039BA8,0x80039C17,0x70
FUN_80039c18,0x80039C18,0x80039D07,0xF0
FUN_80039d08,0x80039D08,0x80039D87,0x80
FUN_80039d88,0x80039D88,0x80039DF7,0x70
FUN_80039df8,0x80039DF8,0x80039EDB,0xE4
FUN_80039edc,0x80039EDC,0x8003A07F,0x1A4
FUN_8003a080,0x8003A080,0x8003A0D7,0x58
FUN_8003a0d8,0x8003A0D8,0x8003A127,0x50
FUN_8003a128,0x8003A128,0x8003A1CF,0xA8
FUN_8003a1d0,0x8003A1D0,0x8003A223,0x54
FUN_8003a224,0x8003A224,0x8003A417,0x1F4
FUN_8003a5b0,0x8003A5B0,0x8003A5DB,0x2C
FUN_8003a5dc,0x8003A5DC,0x8003A607,0x2C
FUN_8003a608,0x8003A608,0x8003A62B,0x24
FUN_8003a62c,0x8003A62C,0x8003A64F,0x24
FUN_8003a650,0x8003A650,0x8003A6BB,0x6C
FUN_8003a6bc,0x8003A6BC,0x8003A913,0x258
FUN_8003a914,0x8003A914,0x8003AB63,0x250
FUN_8003ab64,0x8003AB64,0x8003AC0F,0xAC
FUN_8003ac10,0x8003AC10,0x8003AC6B,0x5C
FUN_8003ac6c,0x8003AC6C,0x8003ACC3,0x58
FUN_8003acc4,0x8003ACC4,0x8003AD03,0x40
FUN_8003ad04,0x8003AD04,0x8003ADBB,0xB8
FUN_8003adbc,0x8003ADBC,0x8003ADDB,0x20
FUN_8003addc,0x8003ADDC,0x8003ADFB,0x20
FUN_8003adfc,0x8003ADFC,0x8003AE2B,0x30
FUN_8003ae2c,0x8003AE2C,0x8003AE4B,0x20
FUN_8003ae4c,0x8003AE4C,0x8003B193,0x348
FUN_8003b194,0x8003B194,0x8003B1E7,0x54
FUN_8003b1e8,0x8003B1E8,0x8003B26B,0x84
FUN_8003b26c,0x8003B26C,0x8003CF6F,0x1D04
FUN_8003cf70,0x8003CF70,0x8003D193,0x224
FUN_8003d194,0x8003D194,0x8003D2A3,0x110
FUN_8003d2a4,0x8003D2A4,0x8003D2FB,0x58
FUN_8003d2fc,0x8003D2FC,0x8003D3B3,0xB8
FUN_8003d3b4,0x8003D3B4,0x8003D433,0x80
FUN_8003d434,0x8003D434,0x8003D533,0x100
FUN_8003d534,0x8003D534,0x8003D5EF,0xBC
FUN_8003d5f0,0x8003D5F0,0x8003D65B,0x6C
FUN_8003d65c,0x8003D65C,0x8003D68F,0x34
FUN_8003d690,0x8003D690,0x8003D71B,0x8C
FUN_8003d71c,0x8003D71C,0x8003D8CF,0x1B4
FUN_8003d8d0,0x8003D8D0,0x8003D92F,0x60
FUN_8003d930,0x8003D930,0x8003E61F,0xCF0
