Name,StartAddress,EndAddress,Size
FUN_801e7698,0x801E7698,0x801E797B,0x2E4
FUN_801e797c,0x801E797C,0x801E7C77,0x2FC
FUN_801e7c78,0x801E7C78,0x801E7DB3,0x13C
FUN_801e7db4,0x801E7DB4,0x801E7EFB,0x148
FUN_801e7efc,0x801E7EFC,0x801E7F2F,0x34
FUN_801e7f30,0x801E7F30,0x801E809B,0x16C
FUN_801e809c,0x801E809C,0x801E8177,0xDC
FUN_801e8178,0x801E8178,0x801E81A3,0x2C
FUN_801e81a4,0x801E81A4,0x801E81AF,0xC
FUN_801e81b4,0x801E81B4,0x801E82FB,0x148
FUN_801e82fc,0x801E82FC,0x801E8397,0x9C
FUN_801e8398,0x801E8398,0x801E8483,0xEC
FUN_801e8484,0x801E8484,0x801E84EB,0x68
FUN_801e84ec,0x801E84EC,0x801E8553,0x68
FUN_801e8554,0x801E8554,0x801E8623,0xD0
FUN_801e8624,0x801E8624,0x801E865F,0x3C
FUN_801e8660,0x801E8660,0x801E8727,0xC8
FUN_801e8728,0x801E8728,0x801E873F,0x18
FUN_801e8740,0x801E8740,0x801E880F,0xD0
FUN_801e8810,0x801E8810,0x801E884F,0x40
FUN_801e8888,0x801E8888,0x801E88C3,0x3C
FUN_801e8900,0x801E8900,0x801E8923,0x24
FUN_801e8b90,0x801E8B90,0x801E8C43,0xB4
FUN_801e8ce0,0x801E8CE0,0x801E8E5F,0x180
FUN_801e8e60,0x801E8E60,0x801E8F0B,0xAC
FUN_801e8f0c,0x801E8F0C,0x801E8F17,0xC
FUN_801e8f1c,0x801E8F1C,0x801E8F27,0xC
FUN_801e8f2c,0x801E8F2C,0x801E8F37,0xC
FUN_801e8f3c,0x801E8F3C,0x801E8F47,0xC
FUN_801e8f4c,0x801E8F4C,0x801E9CC3,0xD24
FUN_801e9ccc,0x801E9CCC,0x801E9CD7,0xC
FUN_801e9cdc,0x801E9CDC,0x801E9CE7,0xC
FUN_801e9cec,0x801E9CEC,0x801E9CF7,0xC
FUN_801e9cfc,0x801E9CFC,0x801E9D07,0xC
FUN_801e9d0c,0x801E9D0C,0x801E9D17,0xC
FUN_801e9d1c,0x801E9D1C,0x801E9DAB,0x90
FUN_801e9dac,0x801E9DAC,0x801E9DD3,0x28
FUN_801e9dd4,0x801E9DD4,0x801E9DFB,0x28
FUN_801e9dfc,0x801E9DFC,0x801E9E23,0x28
FUN_801e9e24,0x801E9E24,0x801E9E33,0x10
FUN_801e9e34,0x801E9E34,0x801E9E43,0x10
FUN_801e9e54,0x801E9E54,0x801E9E63,0x10
FUN_801e9e64,0x801E9E64,0x801E9ECF,0x6C
FUN_801e9ed0,0x801E9ED0,0x801E9EEF,0x20
FUN_801e9f70,0x801E9F70,0x801E9F8F,0x20
FUN_801e9f90,0x801E9F90,0x801E9FAF,0x20
FUN_801e9fb0,0x801E9FB0,0x801E9FC7,0x18
FUN_801e9fc8,0x801E9FC8,0x801E9FDF,0x18
FUN_801e9fe0,0x801E9FE0,0x801EA117,0x138
FUN_801ea118,0x801EA118,0x801EA243,0x12C
FUN_801ea244,0x801EA244,0x801EA387,0x144
FUN_801ea388,0x801EA388,0x801EA3AB,0x24
FUN_801ea3ac,0x801EA3AC,0x801EA3CF,0x24
FUN_801ea3d0,0x801EA3D0,0x801EA3F3,0x24
FUN_801ea3f4,0x801EA3F4,0x801EA413,0x20
FUN_801ea518,0x801EA518,0x801EA597,0x80
FUN_801ea598,0x801EA598,0x801EAB0F,0x578
FUN_801eab10,0x801EAB10,0x801EAD8F,0x280
FUN_801ead90,0x801EAD90,0x801EB05B,0x2CC
FUN_801eb05c,0x801EB05C,0x801EB4A3,0x448
FUN_801eb4a4,0x801EB4A4,0x801EB52B,0x88
FUN_801eb52c,0x801EB52C,0x801EB60B,0xE0
FUN_801eb60c,0x801EB60C,0x801EB6FF,0xF4
FUN_801eb700,0x801EB700,0x801EB74F,0x50
FUN_801eb750,0x801EB750,0x801EB93B,0x1EC
FUN_801eb93c,0x801EB93C,0x801EBAA7,0x16C
FUN_801ebaa8,0x801EBAA8,0x801EBBA7,0x100
FUN_801ebbb8,0x801EBBB8,0x801EBC97,0xE0
FUN_801ebc98,0x801EBC98,0x801EBCA3,0xC
FUN_801ebca8,0x801EBCA8,0x801EBCCB,0x24
FUN_801ebccc,0x801EBCCC,0x801EBEEF,0x224
FUN_801ebef0,0x801EBEF0,0x801EC113,0x224
FUN_801ec114,0x801EC114,0x801EC2EB,0x1D8
FUN_801ec2ec,0x801EC2EC,0x801EC3F3,0x108
